,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,z,p,-log2(p)
0,B8,0.10859933061679251,1.1147156284302329,0.07007465771140488,-0.028744474726533006,0.24594313596011802,0.9716647176404672,1.2788268522130173,1.5497661232117246,0.12119766081878641,3.044566240612005
1,FDR-CD,1.2508393650953136,3.493273859387319,0.11187272338272308,1.0315728564127644,1.4701058737778627,2.805474975623577,4.349695635394646,11.180914590021372,5.056615332013154e-29,93.99774271811802
2,gluten_intake,0.09772344039444818,1.1026577923320047,0.029095557647817853,0.040697195294616254,0.1547496854942801,1.0415366755848547,1.1673657159578668,3.3587065619200245,0.0007830817182974718,10.318549512095881
3,"rs4851575 (IL18R1, IL18RAP)",0.16707996444253023,1.181848767407748,0.06892146258502979,0.03199638001404698,0.3021635488710135,1.032513767613018,1.352782454661385,2.4242080503790864,0.015341813429120736,6.026387167783148
4,"rs114569351 (PLEK,FBXO48)",0.6739542075194807,1.9619800786914559,0.21447843394606306,0.2535842015246441,1.0943242135143172,1.2886358800230813,2.9871633165399554,3.142293586911243,0.0016762986015434519,9.220505123336668
5,"rs12493471 (CCR9,LZTFL1,CXCR6)",0.24505634667598614,1.2776933049472834,0.057757684905057616,0.13185336443166046,0.3582593289203118,1.1409410044677526,1.4308366296894297,4.2428353400731185,2.2071338061865627e-05,15.467466379631173
6,"rs1054091 (RSPH3,TAGAP)",0.268405975978226,1.307877999299752,0.07545633602957237,0.12051427495491213,0.4162976770015399,1.128076844096915,1.5163371803998895,3.557103221564244,0.0003749668470272314,11.380949335257698
7,rs72704176 (ASH1L),0.3987748594336449,1.4899981218208367,0.16797277803110386,0.06955426410954052,0.7279954547577492,1.072030232392414,2.070925180976576,2.3740445571472475,0.017594427148163054,5.828737647210777
8,rs3771689 (BAZ2B),-0.29722380609354976,0.7428777331920374,0.08990228453310929,-0.4734290459063163,-0.1210185662807832,0.6228627771163282,0.8860175093903084,-3.306076231957019,0.0009461234333112815,10.045683966587918
9,rs13014907 (ZNF804A),0.4034350748321162,1.4969580387718555,0.2060715806344062,-0.0004578014485616122,0.807327951112794,0.9995423033265322,2.241909484356886,1.9577424193579351,0.05026024501712503,4.314438485445739
10,rs11739460 (TCOF1),0.12197756323830343,1.129728754041123,0.057487577307365124,0.009303982157405688,0.23465114431920117,1.009347398743985,1.2644675750841567,2.1218073356289455,0.033853920386594294,4.884533277841547
11,rs77532435 (GRB10),0.4185654782467348,1.5197798338972384,0.14299697224401475,0.13829656275019214,0.6988343937432775,1.1483160475474297,2.011406832164224,2.9270932921046806,0.003421462319552443,8.191171225554557
12,rs6967298 (AUTS2),-0.21604066937703306,0.8057025337870323,0.08165684769057235,-0.37608514994162756,-0.05599618881243856,0.6865438713827599,0.9455427395242569,-2.6457140520007596,0.008151869358604841,6.93865335352185
13,rs61751041 (LAMB1),0.32130601983816315,1.3789274955023534,0.17274577076189276,-0.017269469336758936,0.6598815090130852,0.9828787932499281,1.934563092530669,1.8599935524965243,0.06288643816484034,3.9911072649101738
14,rs2409747 (XKR6),0.19803846338610415,1.2190092801445402,0.08309032105961582,0.03518442664538715,0.36089250012682117,1.0358107222818604,1.4346092322783957,2.383411940892792,0.017152987745314773,5.865396299678135
15,Male,-0.586337264615757,0.556361361763675,0.08706035809906508,-0.7569724309710846,-0.4157020982604294,0.46908446492085343,0.6598768196592437,-6.734836352827425,1.6411453846244822e-11,35.826505994802055
16,AMR,-0.5287965315600446,0.5893137636029757,0.23653430370842274,-0.9923952479368121,-0.06519781518327705,0.37068773777623104,0.9368821155383054,-2.235601869451863,0.025377862035556496,5.300285655687152
17,AFR,-1.3238765402774486,0.26610174581359697,1.0219332629275157,-3.3268289302188814,0.6790758496639839,0.03590678765395179,1.9720544151002892,-1.2954628137702073,0.19516062141955803,2.357266112754444
18,DR3/DR3,2.7795733355583088,16.11214500191931,0.31469451275411764,2.1627834244278574,3.39636324668876,8.695306735635176,29.855325919553085,8.832608205437923,1.022627175668785e-18,59.762425437619655
19,DR3/DR4,1.7742194106379838,5.895677236742388,0.30461973236019874,1.1771757062317638,2.371263115044204,3.245195861376333,10.71091285846167,5.824374530472148,5.73268868299451e-09,27.378140919218882
20,DR4/DR4,1.6666235110120426,5.294261568216187,0.3120313810139146,1.0550532421784748,2.2781937798456102,2.872128068185774,9.759037510606557,5.341204803172415,9.233087194976267e-08,23.368611647934795
21,DR1/DR4,0.8332781350699539,2.3008488845248674,0.5894067989616674,-0.3219379631379544,1.9884942332778621,0.7247431497261166,7.304526564231638,1.4137572497261723,0.15743318959063013,2.6671883773568372
22,DR4/DR13,1.6110836656929806,5.00823554127001,0.6189182398086457,0.3980262062931106,2.8241411250928508,1.4888830475015724,16.84646976062344,2.6030638007874645,0.00923947577897403,6.757973285026054
23,SWE,0.14341446735488553,1.1542080841145435,0.10090748401713305,-0.05436056708924639,0.3411895017990174,0.9470905552446701,1.4066197725846894,1.4212470834228235,0.15524494119536625,2.6873818372710283
24,FIN,-0.08626038991728747,0.9173553300392593,0.12408413265528781,-0.329460820974542,0.15694004113996707,0.7193114665492855,1.1699254644007235,-0.6951766359758772,0.48694461241844245,1.0381704127924885
25,GER,-0.3163911792446394,0.7287743130161138,0.22133611776189496,-0.7502019985358697,0.11741964004659089,0.4722711450254011,1.124591254211694,-1.4294602365123303,0.15287199590199385,2.70960394635468
