,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,z,p,-log2(p)
0,tri-SNP 101,-1.0467409309788107,0.3510800808465044,0.23769935371684797,-1.5126231034122797,-0.5808587585453416,0.22033126758279437,0.5594177554525774,-4.403633895554081,1.0645253074437882e-05,16.51943022639423
1,FDR-T1D,1.0501360510834612,2.858039931042544,0.43228155011460784,0.2028797816776834,1.8973923204892391,1.2249252009429417,6.668482484600432,2.4292872337601406,0.015128541584140072,6.046583273650497
2,rs73043122 (RNASET2/MIR3939),0.33902845901865836,1.4035832892473565,1.001201961298763,-1.6232913263777824,2.301348244415099,0.19724842060158193,9.987639160030005,0.33862144914185877,0.7348949221866927,0.4443901117104076
3,rs113306148 (PLEKHA1/MIR3941),0.7578850883527026,2.1337587339392563,0.7331745277754238,-0.6791105804692896,2.194880757174695,0.5070677878566289,8.978930319962224,1.033703517567986,0.3012747881554748,1.73084814722861
4,rs428595 (PPIL2),0.28102704759886077,1.3244894277095176,0.8690785817439274,-1.4223356723543863,1.9843897675521078,0.24115011095621997,7.274606829572506,0.3233620681744806,0.7464210529203135,0.4219384166888594
5,rs1004446 (INS),-0.5350269540080845,0.5856535042227603,0.279612063532308,-1.0830565281743336,0.013002620158164557,0.3385591270505472,1.0130875218058732,-1.9134616269739892,0.05568898147327684,4.166464283149676
6,rs2476601 (PTPN22),0.9198585943950152,2.508935587296758,0.3046437747128486,0.3227677678434979,1.5169494209465324,1.3809446139186499,4.5582985137555605,3.0194563971052957,0.0025322874071970914,8.625343128945278
7,rs2292239 (ERBB3),0.2479754043900349,1.2814284142929455,0.26477958560881504,-0.27098304724468253,0.7669338560247523,0.7626294249655171,2.1531542413690374,0.9365352084068649,0.34899769357559185,1.5187105927734976
8,Male,0.03552486170203192,1.0361634085937599,0.3528707914733848,-0.6560891807819459,0.7271389041860098,0.5188766042742087,2.0691520883089565,0.10067385162059063,0.9198093692758544,0.12059320164987138
9,AMR,-0.8581108016382049,0.42396227505384504,0.9866093529079349,-2.7918296001481253,1.0756079968717156,0.061308940392069335,2.9317748687120204,-0.8697574162549816,0.38443298751100374,1.3791959583682278
10,AFR,-0.3234536438443913,0.7236455025683984,1.1760498712509782,-2.628469035519276,1.9815617478304932,0.07218889631803518,7.2540631606337715,-0.27503395200437364,0.7832901538567232,0.3523812714207966
11,SWE,0.20460059368866876,1.2270348816025944,0.40206358506329876,-0.5834295525304533,0.9926307399077908,0.5579814546594556,2.6983237311863566,0.5088762108522151,0.6108389957118022,0.7111359287509255
12,FIN,0.24994699105440607,1.2839573536582778,0.5260060972678036,-0.7810060152389615,1.2808999973477737,0.4579450797631711,3.5998781488507814,0.4751788854781116,0.6346594754364305,0.6559453689413345
13,GER,0.2984738701496072,1.3478003189159717,0.6336686196668436,-0.9434938025306157,1.5404415428298301,0.3892654401945096,4.666650342147731,0.4710251713372397,0.6376227597909181,0.6492249679876857
